Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['Z_val_atom', 'adjacent_site_oxidation_state', 'bulk_metal_oxidation_state', 0.97, 0.78352, 0.321]
['Z_val_atom', 'n_d_el_adjacent', 'bulk_metal_oxidation_state', 2.66, 0.78352, 0.321]
['Z_val_atom', 'Z_val_bulk', 'adjacent_site_oxidation_state', 1.0, 0.78352, 0.321]
['Z_val_atom', 'Z_val_bulk', 'n_d_el_adjacent', 2.18, 0.78352, 0.321]
['active_site_oxidation_state', '1st', '2nd', 0.38, 0.78351, 0.318]
['Z_val_bulk', 'd_MO', 'active_site_oxidation_state', 1.42, 0.78351, 0.305]
['d_MM', 'adjacent_site_oxidation_state', 'c6', 0.94, 0.78346, 0.31]
['q_O', 'atomic_radius', '4th', 0.82, 0.78333, 0.33]
['magmom', 'adjacent_site_oxidation_state', '4th', 0.81, 0.78322, 0.328]
['d_MO', 'c6', '2nd', 0.9, 0.78315, 0.321]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', '1st', 2.2, 0.78303, 0.317]
['q_O', 'en_pauling', '4th', 0.62, 0.78286, 0.33]
['q_M', 'bulk_metal_oxidation_state', '4th', 1.16, 0.78284, 0.327]
['d_MM', 'd_MO', 'c6', 1.0, 0.78282, 0.312]
['d_MM', 'n_d_el_adjacent', 'c6', 0.94, 0.78267, 0.311]
['q_O', 'bandgap', '4th', 0.16, 0.78256, 0.326]
['bandgap', 'n_d_el_adjacent', 'bulk_metal_oxidation_state', 0.86, 0.78241, 0.323]
['Z_val_atom', 'd_MM', 'c6', 0.95, 0.78236, 0.314]
['d_MM', 'c6', '1st', 0.97, 0.78234, 0.314]
['Z_val_bulk', '3rd', '4th', 1.0, 0.78223, 0.34]
['magmom', 'n_d_el_active', 'bulk_metal_oxidation_state', 1.12, 0.78213, 0.318]
['Z_val_atom', 'q_O', 'magmom', 0.24, 0.78206, 0.322]
['Z_val_bulk', 'active_site_oxidation_state', 'adjacent_site_oxidation_state', 1.24, 0.78203, 0.307]
